court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
nyfamctjeff,https://www.courtlistener.com/api/rest/v4/courts/nyfamctjeff/,,,,,,2024-01-10T09:14:41.160063-08:00,False,False,False,366.966106,"N.Y. Fam. Ct., Jefferson Cty.",Jefferson Family Court,"New York Family Court, Jefferson County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctkings,https://www.courtlistener.com/api/rest/v4/courts/nyfamctkings/,,,,,,2024-01-10T09:14:41.162726-08:00,False,False,False,366.966107,"N.Y. Fam. Ct., Kings Cty.",Kings Family Court,"New York Family Court, Kings County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctmadison,https://www.courtlistener.com/api/rest/v4/courts/nyfamctmadison/,,,,,,2024-01-10T09:14:41.165558-08:00,False,False,False,366.966108,"N.Y. Fam. Ct., Madison Cty.",Madison Family Court,"New York Family Court, Madison County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctmonroe,https://www.courtlistener.com/api/rest/v4/courts/nyfamctmonroe/,,,,,,2024-01-10T09:14:41.168158-08:00,False,False,False,366.9661081,"N.Y. Fam. Ct., Monroe Cty.",Monroe Family Court,"New York Family Court, Monroe County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctmontg,https://www.courtlistener.com/api/rest/v4/courts/nyfamctmontg/,,,,,,2024-01-10T09:14:41.170840-08:00,False,False,False,366.9661082,"N.Y. Fam. Ct., Montgomery Cty.",Montgomery Family Court,"New York Family Court, Montgomery County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctnassau,https://www.courtlistener.com/api/rest/v4/courts/nyfamctnassau/,,,,,,2024-01-10T09:14:41.173430-08:00,False,False,False,366.9661083,"N.Y. Fam. Ct., Nassau Cty.",Nassau Family Court,"New York Family Court, Nassau County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctniagara,https://www.courtlistener.com/api/rest/v4/courts/nyfamctniagara/,,,,,,2024-01-10T09:14:41.176056-08:00,False,False,False,366.9661084,"N.Y. Fam. Ct., Niagara Cty.",Niagara Family Court,"New York Family Court, Niagara County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctoneida,https://www.courtlistener.com/api/rest/v4/courts/nyfamctoneida/,,,,,,2024-01-10T09:14:41.179047-08:00,False,False,False,366.9661085,"N.Y. Fam. Ct., Oneida Cty.",Oneida Family Court,"New York Family Court, Oneida County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctontario,https://www.courtlistener.com/api/rest/v4/courts/nyfamctontario/,,,,,,2024-01-10T09:14:41.181766-08:00,False,False,False,366.9661086,"N.Y. Fam. Ct., Ontario Cty.",Ontario Family Court,"New York Family Court, Ontario County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
nyfamctonond,https://www.courtlistener.com/api/rest/v4/courts/nyfamctonond/,,,,,,2024-01-10T09:14:41.184437-08:00,False,False,False,366.9661087,"N.Y. Fam. Ct., Onondaga Cty.",Onondaga Family Court,"New York Family Court, Onondaga County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nyfamct/,[]
